idInmueble;urlInmueble;fuenteInfo;tipoInmueble;tipoOperacion;precio;habitaciones;tamano;planta;distrito;ciudad;fecha;eficienciaEnergetica;ascensor;terraza;trastero;garaje;balcon;aireAcondicinado;piscina;banos
157920595;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-amueblado-no-amueblado/157920595/d;fotocasa;0;2;720;1;65;0;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;False;False;1
157648575;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-amueblado/157648575/d;fotocasa;0;2;600;1;42;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;False;False;1
158169110;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-terraza-zona-comunitaria-amueblado-television/158169110/d;fotocasa;0;2;1250;3;60;0;tetuan;madrid-capital;06/01/2021;C;False;True;False;No-detallado;False;False;False;1
158168780;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-zona-comunitaria-ascensor-amueblado/158168780/d;fotocasa;0;2;950;2;80;0;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;True;False;1
158166609;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion/158166609/d;fotocasa;0;2;800;2;65;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;False;False;1
158165901;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-ascensor-amueblado/158165901/d;fotocasa;0;2;1075;3;100;2;tetuan;madrid-capital;06/01/2021;C;True;False;False;Privado;False;True;False;2
157487623;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-ascensor-parking-no-amueblado/157487623/d;fotocasa;0;2;1000;1;50;4;tetuan;madrid-capital;06/01/2021;C;True;False;False;Comunitario;False;True;False;2
158165130;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-amueblado/158165130/d;fotocasa;0;2;700;1;65;2;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;True;False;False;1
158162108;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-amueblado/158162108/d;fotocasa;0;2;650;1;40;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;False;False;1
151785648;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/terraza-ascensor/151785648/d;fotocasa;0;2;1500;1;65;0;tetuan;madrid-capital;06/01/2021;C;True;True;False;No-detallado;False;False;False;1
156651934;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/ascensor/156651934/d;fotocasa;0;2;1400;3;91;0;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;False;False;2
157529003;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-piscina-amueblado/157529003/d;fotocasa;0;2;650;1;60;1;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;True;True;1
158160056;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-amueblado/158160056/d;fotocasa;0;2;750;2;65;0;tetuan;madrid-capital;06/01/2021;B;False;False;False;No-detallado;False;False;False;1
