tipoInmueble;tipoOperacion;precio;habitaciones;tamano;planta;distrito;ciudad;eficienciaEnergetica;ascensor;terraza;trastero;garaje;balcon;aireAcondicinado;piscina;banos
0;1;159000;1;62;2;barajas;madrid-capital;C;False;False;False;Privado;False;False;False;1
0;1;415000;4;125;5;barajas;madrid-capital;C;True;True;True;Privado;False;False;True;2
0;1;655000;3;235;0;barajas;madrid-capital;C;False;True;True;Privado;False;False;True;4
0;1;258000;2;65;1;barajas;madrid-capital;C;True;False;False;Comunitario;False;True;False;2
0;1;240000;4;100;1;barajas;madrid-capital;C;False;True;False;No-detallado;False;False;False;1
0;1;330000;1;100;4;barajas;madrid-capital;C;True;True;False;No-detallado;False;False;True;1
0;1;280000;2;60;0;barajas;madrid-capital;C;True;False;True;No-detallado;False;False;False;2
0;1;420000;3;115;1;barajas;madrid-capital;C;True;False;True;Privado;False;False;True;2
0;1;750000;4;338;0;barajas;madrid-capital;C;False;True;False;No-detallado;False;True;False;4
0;1;780000;6;223;0;barajas;madrid-capital;C;False;True;True;Privado;False;False;False;4
0;1;405000;3;115;0;barajas;madrid-capital;C;True;False;True;Comunitario;False;True;True;2
0;1;245000;2;88;0;barajas;madrid-capital;C;True;True;False;No-detallado;False;False;False;2
0;1;440000;2;104;3;barajas;madrid-capital;C;True;True;True;Privado;True;True;False;2
0;1;0;1;49;0;barajas;madrid-capital;C;True;False;True;Privado;False;False;False;1
0;1;430000;4;135;5;barajas;madrid-capital;C;True;True;False;Privado;False;True;False;2
0;1;422000;3;117;1;barajas;madrid-capital;C;True;True;True;Comunitario;False;False;True;2
0;1;205000;2;72;1;barajas;madrid-capital;C;False;False;True;No-detallado;False;False;False;1
0;1;299000;3;89;0;barajas;madrid-capital;C;False;True;False;No-detallado;False;True;False;2
0;1;596000;5;315;0;barajas;madrid-capital;C;False;True;True;Privado;True;True;False;4
0;1;554000;4;158;1;barajas;madrid-capital;C;True;True;False;Privado;True;True;True;3
0;1;690000;4;326;0;barajas;madrid-capital;C;False;True;True;Privado;True;True;False;4
0;1;650000;4;186;5;barajas;madrid-capital;C;True;True;True;Comunitario;False;True;False;3
0;1;279000;2;61;4;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;2
0;1;369000;3;85;0;barajas;madrid-capital;C;True;False;False;No-detallado;False;True;True;2
0;1;195000;3;65;0;barajas;madrid-capital;C;False;True;False;No-detallado;False;False;False;1
0;1;440000;3;114;2;barajas;madrid-capital;C;True;True;False;No-detallado;False;True;True;2
0;1;272000;2;76;1;barajas;madrid-capital;C;True;False;False;Privado;False;True;False;1
0;1;197000;3;74;2;barajas;madrid-capital;C;False;True;False;No-detallado;False;True;False;1
0;1;290000;3;89;1;barajas;madrid-capital;C;True;False;False;Privado;False;True;False;2
0;1;655000;4;151;0;barajas;madrid-capital;C;False;False;False;Privado;False;True;False;2
0;1;172000;3;60;2;barajas;madrid-capital;C;False;True;False;No-detallado;False;False;False;1
0;1;164000;2;64;2;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;185000;3;70;1;barajas;madrid-capital;C;False;True;False;No-detallado;False;False;False;1
0;1;150500;0;31;0;barajas;madrid-capital;C;True;False;False;Privado;False;False;False;1
0;1;205000;2;72;2;barajas;madrid-capital;C;False;False;False;No-detallado;False;True;False;2
0;1;195000;3;69;2;barajas;madrid-capital;C;False;True;False;No-detallado;False;True;False;1
0;1;195000;3;59;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;268000;3;96;1;barajas;madrid-capital;C;False;True;False;No-detallado;False;True;False;2
0;1;239000;3;86;2;barajas;madrid-capital;C;False;False;True;No-detallado;False;False;False;2
0;1;565000;4;125;0;barajas;madrid-capital;C;False;False;True;No-detallado;False;True;True;3
0;1;649000;5;231;9;barajas;madrid-capital;C;True;True;False;Privado;True;False;False;5
0;1;554000;4;158;1;barajas;madrid-capital;C;True;True;False;Privado;False;True;True;3
0;1;562000;4;140;3;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;2
0;1;320000;3;100;1;barajas;madrid-capital;C;True;True;False;No-detallado;False;False;False;2
0;1;435000;2;100;2;barajas;madrid-capital;C;False;False;True;Comunitario;False;True;True;2
0;1;180000;3;79;2;barajas;madrid-capital;C;False;True;False;No-detallado;False;False;False;1
0;1;575000;5;226;0;barajas;madrid-capital;C;False;True;True;Privado;False;True;False;3
0;1;168000;0;45;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;True;False;1
0;1;290000;2;82;3;barajas;madrid-capital;C;True;True;False;Privado;False;True;True;2
0;1;325000;3;94;3;barajas;madrid-capital;C;True;False;False;Privado;False;False;False;2
0;1;212000;2;80;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;0
0;1;430000;4;122;3;barajas;madrid-capital;C;True;True;True;No-detallado;False;True;True;3
0;1;735000;4;413;0;barajas;madrid-capital;C;False;True;True;Privado;True;False;False;3
0;1;554000;4;158;0;barajas;madrid-capital;C;True;True;False;Privado;False;True;True;3
0;1;184900;1;50;1;barajas;madrid-capital;C;True;False;False;Privado;False;False;False;1
0;1;162000;3;72;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;155200;1;56;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;True;False;1
0;1;430000;3;96;5;barajas;madrid-capital;C;True;False;False;Privado;False;False;True;2
0;1;595000;4;248;0;barajas;madrid-capital;C;False;False;True;Privado;False;True;False;3
0;1;460000;3;130;6;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;2
0;1;410000;4;140;0;barajas;madrid-capital;C;True;True;True;Privado;False;False;False;2
0;1;330000;3;90;6;barajas;madrid-capital;C;True;True;False;No-detallado;False;False;False;1
0;1;825000;5;170;0;barajas;madrid-capital;C;True;False;True;Privado;False;True;False;2
0;1;280000;3;102;1;barajas;madrid-capital;C;True;True;False;No-detallado;False;False;True;2
0;1;425000;2;105;2;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;2
0;1;212000;2;85;0;barajas;madrid-capital;C;True;False;False;No-detallado;False;True;False;1
0;1;174000;1;51;0;barajas;madrid-capital;C;True;False;False;No-detallado;False;False;False;1
0;1;830000;9;425;0;barajas;madrid-capital;C;False;True;True;Privado;True;False;False;10
0;1;195000;3;90;6;barajas;madrid-capital;C;True;True;False;No-detallado;True;True;False;1
0;1;699000;5;413;0;barajas;madrid-capital;C;False;True;True;Privado;False;False;False;3
0;1;380000;3;110;0;barajas;madrid-capital;A;True;False;False;No-detallado;False;True;True;2
0;1;299000;4;127;1;barajas;madrid-capital;C;True;True;True;Comunitario;False;False;False;2
0;1;330000;2;100;4;barajas;madrid-capital;C;True;True;True;Comunitario;False;True;True;1
0;1;172000;1;41;3;barajas;madrid-capital;C;True;False;True;No-detallado;False;False;False;1
0;1;275000;2;74;1;barajas;madrid-capital;C;True;False;True;Privado;False;False;False;2
0;1;280000;2;70;2;barajas;madrid-capital;C;True;False;True;Privado;False;False;False;2
0;1;329000;3;117;1;barajas;madrid-capital;C;True;False;False;Privado;False;True;False;2
0;1;272000;1;75;1;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;1
0;1;263000;1;75;1;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;1
0;1;204000;2;82;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;True;False;2
0;1;595000;4;248;0;barajas;madrid-capital;C;False;True;True;Privado;False;True;False;3
0;1;345000;3;109;1;barajas;madrid-capital;C;False;True;False;Comunitario;False;True;True;2
0;1;785000;5;324;0;barajas;madrid-capital;C;False;True;True;Privado;False;True;True;4
0;1;315000;2;74;2;barajas;madrid-capital;C;True;False;True;Privado;False;False;True;2
0;1;280000;2;80;0;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;1
0;1;810000;3;200;6;barajas;madrid-capital;C;True;True;True;Privado;False;True;True;2
0;1;375000;2;99;4;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;2
0;1;390000;4;126;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;3
0;1;349000;3;100;0;barajas;madrid-capital;C;True;False;False;No-detallado;False;True;True;2
0;1;138000;0;35;3;barajas;madrid-capital;C;True;False;False;No-detallado;False;True;False;1
0;1;199000;1;46;0;barajas;madrid-capital;C;True;False;False;Comunitario;False;True;True;1
0;1;469000;3;129;2;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;2
0;1;750000;3;250;0;barajas;madrid-capital;C;False;False;True;No-detallado;False;False;False;3
0;1;310000;3;90;0;barajas;madrid-capital;C;True;True;False;No-detallado;False;False;False;1
0;1;180000;1;45;1;barajas;madrid-capital;C;True;False;False;Privado;False;True;False;1
0;1;350000;3;110;5;barajas;madrid-capital;C;True;True;False;No-detallado;False;True;True;2
0;1;480000;3;150;0;barajas;madrid-capital;C;True;True;True;Privado;False;True;True;2
0;1;575000;4;149;2;barajas;madrid-capital;C;True;True;True;Comunitario;False;True;True;2
0;1;234000;2;95;0;barajas;madrid-capital;C;False;True;True;Privado;False;False;False;2
0;1;320000;3;97;0;barajas;madrid-capital;C;True;False;True;Privado;False;False;True;2
0;1;199900;1;55;2;barajas;madrid-capital;B;True;True;True;No-detallado;False;True;False;1
0;1;349000;3;117;1;barajas;madrid-capital;C;True;True;False;No-detallado;False;True;True;2
0;1;370000;3;124;4;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;2
0;1;865000;5;300;0;barajas;madrid-capital;C;False;True;True;Privado;False;False;True;3
0;1;649000;4;257;0;barajas;madrid-capital;C;False;True;False;Privado;False;False;False;3
0;1;130000;2;50;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;True;False;1
0;1;169900;3;75;2;barajas;madrid-capital;C;False;True;False;No-detallado;False;True;False;1
0;1;350000;2;96;1;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;2
0;1;180000;2;81;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;True;False;1
0;1;598000;3;227;0;barajas;madrid-capital;C;False;True;False;Privado;False;True;False;3
0;1;189000;3;85;1;barajas;madrid-capital;C;True;True;False;No-detallado;False;False;False;1
0;1;310000;3;90;0;barajas;madrid-capital;C;True;True;False;No-detallado;False;False;False;1
0;1;785000;5;300;0;barajas;madrid-capital;B;False;True;True;Privado;False;True;True;4
0;1;193500;2;60;2;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;230000;4;113;0;barajas;madrid-capital;C;False;True;False;No-detallado;False;False;False;2
0;1;690000;4;348;0;barajas;madrid-capital;C;False;True;True;Privado;False;True;False;4
0;1;685000;6;312;0;barajas;madrid-capital;C;False;True;False;Privado;False;False;False;5
0;1;269500;1;58;2;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;405000;3;130;0;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;2
0;1;185000;1;52;0;barajas;madrid-capital;C;True;False;False;No-detallado;False;True;False;1
0;1;375000;2;95;4;barajas;madrid-capital;C;True;False;True;Comunitario;False;True;True;2
0;1;680000;3;120;0;barajas;madrid-capital;C;True;True;True;Comunitario;True;True;False;3
0;1;320000;2;118;2;barajas;madrid-capital;C;True;False;False;Privado;False;True;False;1
0;1;318900;3;120;0;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;2
0;1;790000;5;250;0;barajas;madrid-capital;C;False;True;True;Privado;False;True;True;5
0;1;318900;2;120;0;barajas;madrid-capital;C;True;False;False;Comunitario;False;True;True;2
0;1;324500;3;93;3;barajas;madrid-capital;C;True;True;False;No-detallado;False;False;True;2
0;1;272000;3;93;6;barajas;madrid-capital;C;True;True;False;No-detallado;False;True;False;1
0;1;315000;3;90;0;barajas;madrid-capital;C;True;False;False;Comunitario;False;False;True;2
0;1;780000;5;325;0;barajas;madrid-capital;C;False;False;True;Privado;False;True;True;3
0;1;550000;3;156;3;barajas;madrid-capital;C;True;True;False;No-detallado;False;True;False;2
0;1;780000;7;270;0;barajas;madrid-capital;C;False;True;False;Privado;True;False;False;4
0;1;388000;3;110;3;barajas;madrid-capital;C;True;True;False;Privado;False;True;True;2
0;1;350000;2;131;0;barajas;madrid-capital;C;True;False;False;No-detallado;False;False;True;2
0;1;630000;3;144;2;barajas;madrid-capital;C;True;True;True;Privado;True;True;True;2
0;1;340000;3;87;0;barajas;madrid-capital;A;True;True;False;No-detallado;False;True;False;1
0;1;265000;3;90;0;barajas;madrid-capital;C;True;False;False;No-detallado;False;False;False;2
0;1;215000;1;52;3;barajas;madrid-capital;C;True;True;False;Privado;True;True;False;1
0;1;217000;1;68;1;barajas;madrid-capital;C;True;False;False;No-detallado;False;False;False;1
0;1;212000;2;78;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;207000;2;70;3;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;212000;2;79;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;174000;1;61;0;barajas;madrid-capital;C;True;False;False;No-detallado;False;False;False;1
0;1;217000;2;67;2;barajas;madrid-capital;C;True;False;False;No-detallado;False;False;False;1
0;1;495000;4;156;5;barajas;madrid-capital;C;True;True;False;Privado;False;True;True;2
0;1;450000;2;102;0;barajas;madrid-capital;B;True;True;True;Comunitario;True;True;False;2
0;1;370000;4;105;1;barajas;madrid-capital;C;True;True;False;Comunitario;False;True;True;2
0;1;935000;4;275;0;barajas;madrid-capital;C;False;True;True;Privado;False;True;True;3
0;1;295000;2;70;2;barajas;madrid-capital;C;True;False;True;Privado;False;False;False;2
0;1;399000;2;90;3;barajas;madrid-capital;C;True;True;True;Comunitario;False;True;True;2
0;1;565000;4;161;3;barajas;madrid-capital;C;True;True;True;Privado;False;False;True;2
0;1;600000;4;188;1;barajas;madrid-capital;C;True;True;True;Privado;False;True;False;3
0;1;212000;2;80;0;barajas;madrid-capital;C;True;False;False;No-detallado;False;False;False;1
0;1;138000;0;35;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;0
0;1;158000;3;63;0;barajas;madrid-capital;C;False;True;False;No-detallado;False;False;False;1
0;1;115000;1;60;0;barajas;madrid-capital;C;False;False;False;Comunitario;False;False;False;1
0;1;278000;2;83;2;barajas;madrid-capital;C;True;True;False;No-detallado;False;False;True;2
0;1;840000;5;255;0;barajas;madrid-capital;C;False;True;True;Privado;False;True;False;3
0;1;230000;3;100;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;2
0;1;360000;2;91;4;barajas;madrid-capital;C;True;False;False;Privado;False;True;True;2
0;1;176000;3;79;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;True;False;1
0;1;330000;3;100;0;barajas;madrid-capital;A;True;False;False;Privado;True;True;False;2
0;1;279000;3;119;2;barajas;madrid-capital;C;False;True;False;Privado;False;True;False;1
0;1;330000;3;87;2;barajas;madrid-capital;C;True;False;False;No-detallado;False;True;True;2
0;1;515000;4;126;2;barajas;madrid-capital;C;True;True;False;Privado;False;False;True;3
0;1;365000;3;92;3;barajas;madrid-capital;C;True;False;False;No-detallado;False;True;True;2
0;1;489000;3;122;3;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;2
0;1;139000;3;96;4;barajas;madrid-capital;C;True;True;False;No-detallado;False;False;False;2
0;1;155200;1;50;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;True;False;1
0;1;172900;3;72;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;315000;3;107;0;barajas;madrid-capital;C;True;False;False;No-detallado;False;False;False;2
0;1;165000;3;70;0;barajas;madrid-capital;C;False;False;False;Comunitario;False;False;False;1
0;1;212000;3;70;0;barajas;madrid-capital;C;False;True;False;No-detallado;False;True;False;1
0;1;388000;3;100;0;barajas;madrid-capital;C;True;True;False;Privado;False;True;True;2
0;1;260000;3;91;0;barajas;madrid-capital;C;True;False;False;No-detallado;False;False;False;2
0;1;380000;2;91;0;barajas;madrid-capital;A;True;False;True;Comunitario;False;True;True;2
0;1;430000;3;160;0;barajas;madrid-capital;C;True;True;True;Privado;False;True;True;2
0;1;554000;4;158;0;barajas;madrid-capital;C;True;True;False;Privado;False;True;True;3
0;1;179000;2;68;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;355000;2;80;0;barajas;madrid-capital;C;True;False;True;Comunitario;True;True;True;2
0;1;340000;3;84;6;barajas;madrid-capital;C;True;True;False;No-detallado;False;False;False;1
0;1;345000;3;111;2;barajas;madrid-capital;C;True;True;False;Comunitario;False;True;False;2
0;1;255000;3;106;2;barajas;madrid-capital;C;False;False;True;No-detallado;False;True;False;2
0;1;199900;1;63;0;barajas;madrid-capital;B;True;False;False;No-detallado;False;True;False;1
0;1;283000;2;86;2;barajas;madrid-capital;C;True;True;False;No-detallado;False;True;True;2
0;1;235000;3;94;2;barajas;madrid-capital;C;False;False;True;No-detallado;False;True;False;1
0;1;166000;2;53;1;barajas;madrid-capital;C;False;True;False;No-detallado;False;False;False;1
0;1;169500;2;79;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;283000;2;86;2;barajas;madrid-capital;C;True;True;False;No-detallado;False;True;True;2
0;1;390000;4;126;3;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;2
0;1;400000;3;118;2;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;2
0;1;350000;3;100;0;barajas;madrid-capital;A;True;False;False;No-detallado;False;False;False;2
0;1;138000;3;73;0;barajas;madrid-capital;C;False;False;True;No-detallado;False;False;False;1
0;1;740000;5;150;0;barajas;madrid-capital;C;False;True;False;Privado;False;False;True;3
0;1;340000;3;87;0;barajas;madrid-capital;C;True;False;False;Comunitario;False;False;True;2
0;1;599000;4;160;3;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;3
0;1;430000;4;122;3;barajas;madrid-capital;C;True;True;True;Privado;False;True;False;2
0;1;250000;3;120;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;True;False;3
0;1;440000;3;114;0;barajas;madrid-capital;C;True;True;True;No-detallado;True;True;True;2
0;1;365000;2;80;0;barajas;madrid-capital;B;True;False;True;Comunitario;False;True;True;2
0;1;159000;1;33;5;barajas;madrid-capital;C;True;False;False;No-detallado;False;True;False;1
0;1;860000;4;238;0;barajas;madrid-capital;C;False;True;False;Privado;False;False;True;4
0;1;268000;3;97;2;barajas;madrid-capital;C;False;False;False;Privado;False;True;False;2
0;1;799000;6;360;0;barajas;madrid-capital;C;False;False;True;Privado;False;True;False;3
0;1;275800;2;74;1;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;2
0;1;365000;2;82;0;barajas;madrid-capital;C;True;False;False;Privado;False;True;True;2
0;1;790000;6;357;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;True;False;3
0;1;535000;3;111;0;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;2
0;1;360000;2;92;0;barajas;madrid-capital;C;True;True;True;No-detallado;True;True;True;2
